Date,Pot,SubPot,EC,pH,Leaves Count,Longest Leaf,Plant Height(mm)
15/9/2023,1,35,16,8.2,5,13,19
15/9/2023,1,36,16,8.2,4,8,14
15/9/2023,1,37,16,8.2,5,10,15
15/9/2023,1,38,16,8.2,5,13,21
15/9/2023,1,39,16,8.2,4,11,19
15/9/2023,1,40,16,8.2,4,14,25
15/9/2023,2,1,16,8.2,3,8,15
15/9/2023,2,2,16,8.2,3,10,15
15/9/2023,2,3,16,8.2,3,12,19
15/9/2023,2,4,16,8.2,3,11,22
15/9/2023,2,5,16,8.2,3,6,11
15/9/2023,2,6,16,8.2,3,11,21
15/9/2023,2,7,16,8.2,3,13,23
15/9/2023,2,8,16,8.2,3,18,29
15/9/2023,2,9,16,8.2,3,5,12
15/9/2023,2,10,16,8.2,3,6,12
15/9/2023,2,11,16,8.2,3,8,18
15/9/2023,2,12,16,8.2,3,10,18
15/9/2023,2,13,16,8.2,3,7,14
15/9/2023,2,14,16,8.2,3,12,18
15/9/2023,2,15,16,8.2,3,15,25
15/9/2023,2,16,16,8.2,3,14,27
15/9/2023,2,17,16,8.2,3,5,13
15/9/2023,2,18,16,8.2,3,8,14
15/9/2023,2,19,16,8.2,3,8,18
15/9/2023,2,20,16,8.2,3,9,21
15/9/2023,2,21,16,8.2,3,7,15
15/9/2023,2,22,16,8.2,3,15,23
15/9/2023,2,23,16,8.2,3,9,14
15/9/2023,2,24,16,8.2,3,8,13
15/9/2023,2,25,16,8.2,3,6,16
15/9/2023,2,26,16,8.2,3,5,14
15/9/2023,2,27,16,8.2,3,8,14
15/9/2023,2,28,16,8.2,3,8,17
15/9/2023,2,29,16,8.2,3,10,18
15/9/2023,2,30,16,8.2,3,6,13
15/9/2023,2,31,16,8.2,3,6,14
15/9/2023,2,32,16,8.2,3,12,21
15/9/2023,2,33,16,8.2,3,10,15
15/9/2023,2,34,16,8.2,3,8,13
15/9/2023,2,35,16,8.2,3,7,18
15/9/2023,2,36,16,8.2,3,12,20
15/9/2023,2,37,16,8.2,3,6,13
15/9/2023,2,38,16,8.2,3,7,15
15/9/2023,2,39,16,8.2,3,6,14
15/9/2023,2,40,16,8.2,3,8,16
16/9/2023,1,1,16,8.2,4,15,21
16/9/2023,1,2,16,8.2,4,12,18
16/9/2023,1,3,16,8.2,4,9,13
16/9/2023,1,4,16,8.2,4,17,24
16/9/2023,1,5,16,8.2,4,11,17
16/9/2023,1,6,16,8.2,4,15,23
16/9/2023,1,7,16,8.2,5,19,31
16/9/2023,1,8,16,8.2,4,15,23
16/9/2023,1,9,16,8.2,4,16,25
16/9/2023,1,10,16,8.2,4,13,21
16/9/2023,1,11,16,8.2,4,9,15
16/9/2023,1,12,16,8.2,4,16,21
16/9/2023,1,13,16,8.2,4,11,19
16/9/2023,1,14,16,8.2,4,15,25
16/9/2023,1,15,16,8.2,5,18,30
16/9/2023,1,16,16,8.2,5,15,27
16/9/2023,1,17,16,8.2,4,13,21
16/9/2023,1,18,16,8.2,4,10,15
16/9/2023,1,19,16,8.2,4,11,16
16/9/2023,1,20,16,8.2,4,16,23
16/9/2023,1,21,16,8.2,4,13,21
16/9/2023,1,22,16,8.2,4,16,25
16/9/2023,1,23,16,8.2,4,15,27
16/9/2023,1,24,16,8.2,5,14,21
16/9/2023,1,25,16,8.2,4,13,21
16/9/2023,1,26,16,8.2,4,11,18
