week,Plot,plantHeight,NoOfTiller,NoOfPanicle,NoOfSpikelet,NoOfFilledGrain,NoOfUnfilledGrain,WeightGrain,PreplantHeight,PreNoOfTiller,PreNoOfPanicle,PreNoOfSpikelet,PreNoOfFilledGrain,PreNoOfUnfilledGrain,PreWeightGrain,TarplantHeight,TarNoOfTiller,TarNoOfPanicle,TarNoOfSpikelet,TarNoOfFilledGrain,TarNoOfUnfilledGrain,TarWeightGrain
12,8,1.721996,0.931176,18.39688,1.02291,35.81569,21.66007,23.62567,0,0,0,0,0,0,0,6.186542,7.688964,61.60902,6.327203,114.827,114.8441,81.54861
13,1,6.290896,7.820078,61.92236,6.392166,117.1263,90.3006,82.81181,0,0,0,0,0,0,0,6.307097,7.847119,62.06133,6.425179,117.6049,117.5373,83.1577
13,2,6.506032,8.112502,64.02313,6.614463,122.5221,93.69005,86.36426,0,0,0,0,0,0,0,6.529183,8.13822,64.29752,6.647214,122.8641,122.965,86.64919
13,3,4.824645,2.90036,4.826814,4.947792,48.44141,34.23089,48.77299,0,0,0,0,0,0,0,6.602475,8.243263,65.41176,6.761437,125.5443,125.6411,88.48666
13,4,6.741722,8.388662,66.48256,6.785126,126.5154,96.84236,90.2099,0,0,0,0,0,0,0,6.759391,8.405472,66.69271,6.799549,126.8589,126.9534,90.54245
13,5,4.974844,3.013195,5.019726,5.140412,50.56439,35.44901,50.84421,0,0,0,0,0,0,0,6.899168,8.512727,67.64108,6.86428,128.3623,128.3666,92.78118
13,6,5.132042,3.105271,5.181195,5.301923,52.43288,36.45069,52.47472,0,0,0,0,0,0,0,6.904166,8.50916,67.63607,6.864195,128.531,128.3425,92.74741
13,7,1.824649,0.975791,19.3064,1.075837,38.25341,22.90509,25.01786,0,0,0,0,0,0,0,6.903233,8.507933,67.72436,6.864229,128.4637,128.4159,92.73201
13,8,1.941041,1.013316,20.36617,1.143291,40.25696,24.25582,26.03256,0,0,0,0,0,0,0,6.895426,8.505877,67.74449,6.861951,128.3602,128.4835,92.76473
14,1,7.015772,8.633982,68.69218,6.997814,131.1101,101.0736,93.77121,0,0,0,0,0,0,0,7.039702,8.668757,68.8624,7.01366,131.4035,131.5513,94.07322
14,2,7.202654,8.96063,70.72557,7.244072,135.7791,104.0916,97.08363,0,0,0,0,0,0,0,7.227378,8.992948,70.97229,7.268636,136.3002,136.2292,97.43058
14,3,5.312042,3.200809,5.336661,5.459466,53.85683,37.30987,54.92762,0,0,0,0,0,0,0,7.302261,9.139971,71.79503,7.375411,137.7652,137.8033,99.27661
14,4,7.449145,9.260249,72.6864,7.50461,140.0832,106.9665,100.3566,0,0,0,0,0,0,0,7.473472,9.293113,72.88421,7.523625,140.5647,140.5355,100.6982
14,5,5.468745,3.290592,5.494742,5.636645,55.91768,38.71522,56.60711,0,0,0,0,0,0,0,7.579464,9.380871,74.08336,7.657009,142.2707,142.2395,102.1978
14,6,5.623317,3.388574,5.642687,5.816692,57.75129,40.24548,58.63985,0,0,0,0,0,0,0,7.576444,9.382904,74.11836,7.652764,142.5009,142.4665,102.4034
14,7,2.025784,1.064908,21.39529,1.201825,42.39324,25.39283,27.39011,0,0,0,0,0,0,0,7.578598,9.382825,74.04703,7.655813,142.3738,142.5637,102.2879
14,8,2.13442,1.110557,22.30364,1.246653,44.85811,26.43241,28.77869,0,0,0,0,0,0,0,7.580352,9.385229,74.04125,7.650087,142.4397,142.3718,102.3069
15,1,0,0,0,0,0,0,0,11.23894,13.48782,113.4488,11.54695,221.9405,162.871,142.6106,103.7797,9.549666,75.07751,7.76381,143.6111,110.0979,104.0779
15,2,0,0,0,0,0,0,0,12.04503,16.28125,111.7435,10.83864,227.1751,174.5715,161.8575,106.4623,9.740328,77.46514,7.9788,147.9299,113.7055,106.6672
15,3,0,0,0,0,0,0,0,7.949837,4.926449,8.610932,8.7624,92.52096,61.01906,99.16066,107.8669,9.86944,78.67023,8.049336,150.0534,115.2743,107.8548
15,4,0,0,0,0,0,0,0,13.54097,15.27439,121.5037,12.21913,245.1775,190.6785,172.2231,109.5391,10.02533,80.06236,8.227589,152.3212,117.0126,109.7916
15,5,0,0,0,0,0,0,0,8.502504,5.31227,8.955352,9.890222,100.5844,62.1427,91.09674,110.8709,10.13715,81.19968,8.356446,154.2932,117.971,110.9404
15,6,0,0,0,0,0,0,0,9.417212,5.86315,10.49211,10.10243,93.51202,68.95733,97.3126,110.8945,10.13733,81.24826,8.355697,154.0526,117.9031,110.9831
15,7,0,0,0,0,0,0,0,3.490752,1.730682,34.22453,1.942858,72.80188,40.36511,44.23493,110.9661,10.13503,81.18436,8.364964,154.015,117.9513,110.9122
15,8,0,0,0,0,0,0,0,3.769966,1.772945,37.06011,2.074948,74.59762,41.18477,51.46388,110.995,10.13276,81.23705,8.354579,154.0934,117.9568,111.0658
16,1,0,0,0,0,0,0,0,10.99656,15.62355,109.3405,12.79419,260.2115,164.901,164.3303,111.7498,10.21144,82.57558,8.499236,156.2859,119.4939,111.976
16,2,0,0,0,0,0,0,0,11.80135,17.20762,145.2295,11.3513,233.3012,186.6784,166.5229,115.1426,10.40334,85.63077,8.758177,160.412,123.2441,115.5148
16,3,0,0,0,0,0,0,0,9.649716,5.564379,9.451286,9.929381,101.4417,59.62229,106.8964,116.4077,10.55872,87.1907,8.871149,162.0946,125.097,116.381
16,4,0,0,0,0,0,0,0,13.41278,15.54523,143.7213,13.18477,263.4779,170.926,191.9887,118.0252,10.72645,88.5172,9.005432,163.9217,127.4439,118.3596
16,5,0,0,0,0,0,0,0,10.15508,5.737302,10.3589,10.3337,110.2328,76.38172,99.92363,119.5772,10.83767,89.32664,9.115966,165.9673,129.11,119.6919
16,6,0,0,0,0,0,0,0,8.409585,5.815375,10.41031,10.6771,113.7361,68.67683,107.3367,119.5631,10.83887,89.35343,9.120167,166.0167,129.1144,119.6984
16,7,0,0,0,0,0,0,0,3.391024,1.902701,37.5685,2.129296,76.05308,46.74709,46.16543,119.568,10.83858,89.35958,9.12622,165.8811,128.9289,119.5436
16,8,0,0,0,0,0,0,0,3.839205,2.016801,39.88335,2.188795,87.71782,47.99654,45.57525,119.6258,10.84246,89.30525,9.119752,165.8569,129.0696,119.619
17,1,0,0,0,0,0,0,0,12.86112,14.72614,132.888,14.23652,216.1521,194.0238,172.1326,121.1145,10.979,90.364,9.251963,168.4899,130.4521,121.455
17,2,0,0,0,0,0,0,0,11.93207,16.59785,142.0408,12.68881,233.7753,209.2303,192.9883,124.3685,11.25311,92.51533,9.522338,172.1497,133.3188,124.6663
17,3,0,0,0,0,0,0,0,9.442916,6.315505,10.72117,11.0054,108.7029,77.20024,105.8224,126.059,11.39491,93.68654,9.648985,174.0628,134.6692,126.2014
17,4,0,0,0,0,0,0,0,15.42477,17.85596,138.0413,13.26556,280.412,235.5461,178.6317,127.1829,11.57,94.86375,9.757586,176.0256,137.4285,127.3171
17,5,0,0,0,0,0,0,0,9.481305,6.653266,10.59307,10.79088,104.5256,77.07273,121.3836,128.4547,11.68298,96.09877,9.861143,178.0678,139.2698,128.4227
17,6,0,0,0,0,0,0,0,11.88573,6.118757,10.8973,10.74049,104.5478,83.19855,112.0644,128.5255,11.68342,96.04209,9.8594,178.1062,139.1071,128.4119
17,7,0,0,0,0,0,0,0,4.192553,2.010149,39.04538,2.181817,85.86268,48.90255,49.78399,128.3339,11.67553,96.05767,9.858241,178.0029,139.1925,128.4666
17,8,0,0,0,0,0,0,0,4.128879,2.238622,44.41565,2.378415,76.25997,54.81956,52.35613,128.3562,11.68472,96.03318,9.856912,178.0869,139.1935,128.4349
18,1,0,0,0,0,0,0,0,15.11479,18.78006,156.3782,14.94829,288.4084,209.6865,219.9877,130.0586,11.88445,97.4278,10.01888,179.6742,140.171,130.5112
18,2,0,0,0,0,0,0,0,16.52956,17.85788,145.9051,15.11945,249.6313,215.3091,203.4562,133.9908,12.23256,99.94622,10.21835,183.9831,143.6512,134.3721
